,SettlementPoint,Year,Month,AveragePrice
346,LZ_CPS,2016,11,21.71466666666668
347,LZ_CPS,2016,12,26.596424731182818
348,LZ_CPS,2017,1,23.772567204301065
349,LZ_CPS,2017,2,20.919479166666655
350,LZ_CPS,2017,3,23.861547779273234
351,LZ_CPS,2017,4,25.337902777777774
352,LZ_CPS,2017,5,26.537029569892443
353,LZ_CPS,2017,6,30.41599999999999
354,LZ_CPS,2017,7,32.1152956989247
355,LZ_CPS,2017,8,28.13756720430108
356,LZ_CPS,2017,9,25.136652777777797
357,LZ_CPS,2017,10,25.275954301075267
358,LZ_CPS,2017,11,23.572569444444426
359,LZ_CPS,2017,12,22.04837365591397
360,LZ_CPS,2018,1,41.312876344086014
361,LZ_CPS,2018,2,22.517395833333318
362,LZ_CPS,2018,3,25.289273216689107
363,LZ_CPS,2018,4,26.535375000000013
364,LZ_CPS,2018,5,36.05559139784947
365,LZ_CPS,2018,6,30.727277777777783
366,LZ_CPS,2018,7,79.12443548387105
367,LZ_CPS,2018,8,31.865685483871015
368,LZ_CPS,2018,9,27.512986111111136
369,LZ_CPS,2018,10,31.635967741935485
370,LZ_CPS,2018,11,32.041208333333316
371,LZ_CPS,2018,12,30.309220430107572
372,LZ_CPS,2019,1,26.798333333333357
373,LZ_CPS,2019,2,24.11011904761902
374,LZ_CPS,2019,3,29.351695827725433
375,LZ_CPS,2019,4,25.363597222222218
376,LZ_CPS,2019,5,26.246075268817183
377,LZ_CPS,2019,6,26.391291666666703
378,LZ_CPS,2019,7,30.667177419354825
379,LZ_CPS,2019,8,127.69620967741939
380,LZ_CPS,2019,9,82.43634722222212
381,LZ_CPS,2019,10,33.553602150537664
382,LZ_CPS,2019,11,25.57513888888891
383,LZ_CPS,2019,12,19.997862903225816
384,LZ_HOUSTON,2016,1,19.563938172043017
385,LZ_HOUSTON,2016,2,15.487988505747138
386,LZ_HOUSTON,2016,3,17.206729475100946
387,LZ_HOUSTON,2016,4,19.128930555555566
388,LZ_HOUSTON,2016,5,19.903991935483887
389,LZ_HOUSTON,2016,6,29.915083333333325
390,LZ_HOUSTON,2016,7,29.91186827956986
391,LZ_HOUSTON,2016,8,33.56354838709678
392,LZ_HOUSTON,2016,9,29.032680555555544
393,LZ_HOUSTON,2016,10,28.545819892473133
394,LZ_HOUSTON,2016,11,20.437680555555556
395,LZ_HOUSTON,2016,12,25.736841397849467
396,LZ_HOUSTON,2017,1,24.827365591397836
397,LZ_HOUSTON,2017,2,23.517217261904765
398,LZ_HOUSTON,2017,3,28.742005383580064
399,LZ_HOUSTON,2017,4,32.96706944444447
400,LZ_HOUSTON,2017,5,32.36264784946243
401,LZ_HOUSTON,2017,6,33.668916666666625
402,LZ_HOUSTON,2017,7,34.72583333333334
403,LZ_HOUSTON,2017,8,30.031478494623677
404,LZ_HOUSTON,2017,9,27.41002777777777
405,LZ_HOUSTON,2017,10,31.339381720430104
406,LZ_HOUSTON,2017,11,26.33962499999996
407,LZ_HOUSTON,2017,12,21.979784946236585
408,LZ_HOUSTON,2018,1,38.044986559139794
409,LZ_HOUSTON,2018,2,22.375848214285735
410,LZ_HOUSTON,2018,3,23.933458950201892
411,LZ_HOUSTON,2018,4,24.728347222222226
412,LZ_HOUSTON,2018,5,35.53303763440861
413,LZ_HOUSTON,2018,6,31.80234722222222
414,LZ_HOUSTON,2018,7,79.56653225806457
415,LZ_HOUSTON,2018,8,32.159623655913954
416,LZ_HOUSTON,2018,9,27.722416666666632
417,LZ_HOUSTON,2018,10,31.781115591397857
418,LZ_HOUSTON,2018,11,31.730333333333313
419,LZ_HOUSTON,2018,12,30.462069892473117
420,LZ_HOUSTON,2019,1,25.55008064516131
421,LZ_HOUSTON,2019,2,21.644255952380963
422,LZ_HOUSTON,2019,3,28.080323014804854
423,LZ_HOUSTON,2019,4,24.264583333333338
424,LZ_HOUSTON,2019,5,25.153615591397852
425,LZ_HOUSTON,2019,6,27.2267361111111
426,LZ_HOUSTON,2019,7,30.013064516129045
427,LZ_HOUSTON,2019,8,126.69338709677426
428,LZ_HOUSTON,2019,9,80.77929166666665
429,LZ_HOUSTON,2019,10,30.642379032258074
430,LZ_HOUSTON,2019,11,24.18161111111111
431,LZ_HOUSTON,2019,12,18.919852150537647
432,LZ_LCRA,2016,1,19.31745967741934
433,LZ_LCRA,2016,2,15.488548850574706
434,LZ_LCRA,2016,3,16.79629878869449
435,LZ_LCRA,2016,4,18.39270833333334
436,LZ_LCRA,2016,5,18.18278225806455
437,LZ_LCRA,2016,6,24.16441666666668
438,LZ_LCRA,2016,7,27.592217741935475
439,LZ_LCRA,2016,8,31.175577956989258
440,LZ_LCRA,2016,9,27.03994444444444
441,LZ_LCRA,2016,10,26.068440860215063
442,LZ_LCRA,2016,11,19.541680555555562
443,LZ_LCRA,2016,12,25.487876344086036
444,LZ_LCRA,2017,1,23.43627688172043
445,LZ_LCRA,2017,2,20.660818452380937
446,LZ_LCRA,2017,3,23.437133243607
